Date,Price,Date,Open,High,Low,Close price,Vol.,Change %,,Volatility,Daily volatility,,,,,,,,,,,,,,,,,
"Jul 06, 2020"," ₹ 3,179.72 ","Jul 06, 2020"," ₹ 3,155.29 "," ₹ 3,182.59 "," ₹ 3,155.29 "," ₹ 3,179.72 ",-,1.59%,2%,27.3,0.90%,,,,,,,,,,,,,,,,,
"Jul 02, 2020"," ₹ 3,130.01 ","Jul 02, 2020"," ₹ 3,143.64 "," ₹ 3,165.81 "," ₹ 3,124.52 "," ₹ 3,130.01 ",-,0.45%,0%,41.29,1.30%,,,,,,,,,,,,,,,,,
"Jul 01, 2020"," ₹ 3,115.86 ","Jul 01, 2020"," ₹ 3,105.92 "," ₹ 3,128.44 "," ₹ 3,101.17 "," ₹ 3,115.86 ",-,0.50%,1%,27.27,0.90%,,,,,,,,,,,,,,,,,
"Jun 30, 2020"," ₹ 3,100.29 ","Jun 30, 2020"," ₹ 3,050.20 "," ₹ 3,111.51 "," ₹ 3,047.83 "," ₹ 3,100.29 ",-,1.54%,2%,63.68,2.10%,,,,,,,,,,,,,,,,,
"Jun 29, 2020"," ₹ 3,053.24 ","Jun 29, 2020"," ₹ 3,018.59 "," ₹ 3,053.89 "," ₹ 2,999.74 "," ₹ 3,053.24 ",-,1.47%,1%,54.15,1.80%,,,,,,,,,,,,,,,,,
"Jun 26, 2020"," ₹ 3,009.05 ","Jun 26, 2020"," ₹ 3,073.20 "," ₹ 3,073.73 "," ₹ 3,004.63 "," ₹ 3,009.05 ",-,-2.42%,2%,69.1,2.20%,,,,,,,,,,,,,,,,,
"Jun 25, 2020"," ₹ 3,083.76 ","Jun 25, 2020"," ₹ 3,046.60 "," ₹ 3,086.25 "," ₹ 3,024.01 "," ₹ 3,083.76 ",-,1.10%,1%,62.24,2.00%,,,,,,,,,,,,,,,,,
"Jun 24, 2020"," ₹ 3,050.33 ","Jun 24, 2020"," ₹ 3,114.40 "," ₹ 3,115.01 "," ₹ 3,032.13 "," ₹ 3,050.33 ",-,-2.59%,3%,82.88,2.70%,,,,,,,,,,,,,,,,,
"Jun 23, 2020"," ₹ 3,131.29 ","Jun 23, 2020"," ₹ 3,138.70 "," ₹ 3,154.90 "," ₹ 3,127.12 "," ₹ 3,131.29 ",-,0.43%,0%,27.78,0.90%,,,,,,,,,,,,,,,,,
"Jun 22, 2020"," ₹ 3,117.86 ","Jun 22, 2020"," ₹ 3,094.42 "," ₹ 3,120.92 "," ₹ 3,079.39 "," ₹ 3,117.86 ",-,0.65%,1%,41.53,1.30%,,,,,,,,,,,,,,,,,
"Jun 19, 2020"," ₹ 3,097.74 ","Jun 19, 2020"," ₹ 3,140.29 "," ₹ 3,155.53 "," ₹ 3,083.11 "," ₹ 3,097.74 ",-,-0.56%,1%,72.42,2.30%,,,,,,,,,,,,,,,,,
"Jun 18, 2020"," ₹ 3,115.34 ","Jun 18, 2020"," ₹ 3,101.64 "," ₹ 3,120.00 "," ₹ 3,093.51 "," ₹ 3,115.34 ",-,0.06%,0%,26.49,0.90%,,,,,,,,,,,,,,,,,
"Jun 17, 2020"," ₹ 3,113.49 ","Jun 17, 2020"," ₹ 3,136.13 "," ₹ 3,141.16 "," ₹ 3,108.03 "," ₹ 3,113.49 ",-,-0.36%,0%,33.13,1.10%,,,,,,,,,,,,,,,,,
"Jun 16, 2020"," ₹ 3,124.74 ","Jun 16, 2020"," ₹ 3,131.00 "," ₹ 3,153.45 "," ₹ 3,076.06 "," ₹ 3,124.74 ",-,1.90%,2%,77.39,2.50%,,,,,,,,,,,,,,,,,
"Jun 15, 2020"," ₹ 3,066.59 ","Jun 15, 2020"," ₹ 2,993.76 "," ₹ 3,079.76 "," ₹ 2,965.66 "," ₹ 3,066.59 ",-,0.83%,1%,114.1,3.80%,,,,,,,,,,,,,,,,,
"Jun 12, 2020"," ₹ 3,041.31 ","Jun 12, 2020"," ₹ 3,071.04 "," ₹ 3,088.42 "," ₹ 2,984.47 "," ₹ 3,041.31 ",-,1.31%,1%,103.95,3.40%,,,,,,,,,,,,,,,,,
"Jun 11, 2020"," ₹ 3,002.10 ","Jun 11, 2020"," ₹ 3,123.53 "," ₹ 3,123.53 "," ₹ 2,999.49 "," ₹ 3,002.10 ",-,-5.89%,6%,124.04,4.00%,,,,,,,,,,,,,,,,,
"Jun 10, 2020"," ₹ 3,190.14 ","Jun 10, 2020"," ₹ 3,213.42 "," ₹ 3,223.27 "," ₹ 3,181.49 "," ₹ 3,190.14 ",-,-0.53%,1%,41.78,1.30%,,,,,,,,,,,,,,,,,
"Jun 09, 2020"," ₹ 3,207.18 ","Jun 09, 2020"," ₹ 3,213.32 "," ₹ 3,222.71 "," ₹ 3,193.11 "," ₹ 3,207.18 ",-,-0.78%,1%,29.6,0.90%,,,,,,,,,,,,,,,,,
"Jun 08, 2020"," ₹ 3,232.39 ","Jun 08, 2020"," ₹ 3,199.92 "," ₹ 3,233.13 "," ₹ 3,196.00 "," ₹ 3,232.39 ",-,1.20%,1%,37.13,1.20%,,,,,,,,,,,,,,,,,
"Jun 05, 2020"," ₹ 3,193.93 ","Jun 05, 2020"," ₹ 3,163.84 "," ₹ 3,211.72 "," ₹ 3,163.84 "," ₹ 3,193.93 ",-,2.62%,3%,47.88,1.50%,,,,,,,,,,,,,,,,,
"Jun 04, 2020"," ₹ 3,112.35 ","Jun 04, 2020"," ₹ 3,111.56 "," ₹ 3,128.91 "," ₹ 3,090.41 "," ₹ 3,112.35 ",-,-0.34%,0%,38.5,1.20%,,,,,,,,,,,,,,,,,
"Jun 03, 2020"," ₹ 3,122.87 ","Jun 03, 2020"," ₹ 3,098.90 "," ₹ 3,130.94 "," ₹ 3,098.90 "," ₹ 3,122.87 ",-,1.36%,1%,32.04,1.00%,,,,,,,,,,,,,,,,,
"Jun 02, 2020"," ₹ 3,080.82 ","Jun 02, 2020"," ₹ 3,064.78 "," ₹ 3,081.07 "," ₹ 3,051.64 "," ₹ 3,080.82 ",-,0.82%,1%,29.43,1.00%,,,,,,,,,,,,,,,,,
"Jun 01, 2020"," ₹ 3,055.73 ","Jun 01, 2020"," ₹ 3,038.78 "," ₹ 3,062.18 "," ₹ 3,031.54 "," ₹ 3,055.73 ",-,0.38%,0%,30.64,1.00%,,,,,,,,,,,,,,,,,
"May 29, 2020"," ₹ 3,044.31 ","May 29, 2020"," ₹ 3,025.17 "," ₹ 3,049.17 "," ₹ 2,998.61 "," ₹ 3,044.31 ",-,0.48%,0%,50.56,1.70%,,,,,,,,,,,,,,,,,
"May 28, 2020"," ₹ 3,029.73 ","May 28, 2020"," ₹ 3,046.61 "," ₹ 3,068.67 "," ₹ 3,023.40 "," ₹ 3,029.73 ",-,-0.21%,0%,45.27,1.50%,,,,,,,,,,,,,,,,,
"May 27, 2020"," ₹ 3,036.13 ","May 27, 2020"," ₹ 3,015.65 "," ₹ 3,036.25 "," ₹ 2,969.75 "," ₹ 3,036.13 ",-,1.48%,1%,66.5,2.20%,,,,,,,,,,,,,,,,,
"May 26, 2020"," ₹ 2,991.77 ","May 26, 2020"," ₹ 3,004.08 "," ₹ 3,021.72 "," ₹ 2,988.17 "," ₹ 2,991.77 ",-,1.23%,1%,33.55,1.10%,,,,,,,,,,,,,,,,,
"May 22, 2020"," ₹ 2,955.45 ","May 22, 2020"," ₹ 2,948.05 "," ₹ 2,956.76 "," ₹ 2,933.59 "," ₹ 2,955.45 ",-,0.24%,0%,23.17,0.80%,,,,,,,,,,,,,,,,,
"May 21, 2020"," ₹ 2,948.51 ","May 21, 2020"," ₹ 2,969.95 "," ₹ 2,978.50 "," ₹ 2,938.57 "," ₹ 2,948.51 ",-,-0.78%,1%,39.93,1.30%,,,,,,,,,,,,,,,,,
"May 20, 2020"," ₹ 2,971.61 ","May 20, 2020"," ₹ 2,953.63 "," ₹ 2,980.29 "," ₹ 2,953.63 "," ₹ 2,971.61 ",-,1.67%,2%,26.66,0.90%,,,,,,,,,,,,,,,,,
"May 19, 2020"," ₹ 2,922.94 ","May 19, 2020"," ₹ 2,948.59 "," ₹ 2,964.21 "," ₹ 2,922.35 "," ₹ 2,922.94 ",-,-1.05%,1%,41.86,1.40%,,,,,,,,,,,,,,,,,
"May 18, 2020"," ₹ 2,953.91 ","May 18, 2020"," ₹ 2,913.86 "," ₹ 2,968.09 "," ₹ 2,913.86 "," ₹ 2,953.91 ",-,3.15%,3%,54.23,1.90%,,,,,,,,,,,,,,,,,
"May 15, 2020"," ₹ 2,863.70 ","May 15, 2020"," ₹ 2,829.95 "," ₹ 2,865.01 "," ₹ 2,816.78 "," ₹ 2,863.70 ",-,0.39%,0%,48.23,1.70%,,,,,,,,,,,,,,,,,
